,WEEK,YEAR,MONTH,WEEK_NUMBER,DATE
84,33-22,2022,8,33,2022-08-21
85,34-22,2022,8,34,2022-08-28
86,35-22,2022,9,35,2022-09-04
87,36-22,2022,9,36,2022-09-11
88,37-22,2022,9,37,2022-09-18
89,38-22,2022,9,38,2022-09-25
90,39-22,2022,10,39,2022-10-02
91,40-22,2022,10,40,2022-10-09
92,41-22,2022,10,41,2022-10-16
93,42-22,2022,10,42,2022-10-23
94,43-22,2022,10,43,2022-10-30
95,44-22,2022,11,44,2022-11-06
96,45-22,2022,11,45,2022-11-13
97,46-22,2022,11,46,2022-11-20
98,47-22,2022,11,47,2022-11-27
99,48-22,2022,12,48,2022-12-04
100,49-22,2022,12,49,2022-12-11
101,50-22,2022,12,50,2022-12-18
102,51-22,2022,12,51,2022-12-25
103,52-22,2022,1,52,2023-01-01
104,01-23,2023,1,1,2023-01-09
105,02-23,2023,1,2,2023-01-16
106,03-23,2023,1,3,2023-01-23
107,04-23,2023,1,4,2023-01-30
108,05-23,2023,2,5,2023-02-06
109,06-23,2023,2,6,2023-02-13
110,07-23,2023,2,7,2023-02-20
111,08-23,2023,2,8,2023-02-27
112,09-23,2023,3,9,2023-03-06
113,10-23,2023,3,10,2023-03-13
114,11-23,2023,3,11,2023-03-20
115,12-23,2023,3,12,2023-03-27
116,13-23,2023,4,13,2023-04-03
117,14-23,2023,4,14,2023-04-10
118,15-23,2023,4,15,2023-04-17
119,16-23,2023,4,16,2023-04-24
120,17-23,2023,5,17,2023-05-01
121,18-23,2023,5,18,2023-05-08
122,19-23,2023,5,19,2023-05-15
123,20-23,2023,5,20,2023-05-22
124,21-23,2023,5,21,2023-05-29
125,22-23,2023,6,22,2023-06-05
126,23-23,2023,6,23,2023-06-12
127,24-23,2023,6,24,2023-06-19
128,25-23,2023,6,25,2023-06-26
129,26-23,2023,7,26,2023-07-03
130,27-23,2023,7,27,2023-07-10
131,28-23,2023,7,28,2023-07-17
132,29-23,2023,7,29,2023-07-24
133,30-23,2023,7,30,2023-07-31
134,31-23,2023,8,31,2023-08-07
135,32-23,2023,8,32,2023-08-14
136,33-23,2023,8,33,2023-08-21
137,34-23,2023,8,34,2023-08-28
138,35-23,2023,9,35,2023-09-04
139,36-23,2023,9,36,2023-09-11
140,37-23,2023,9,37,2023-09-18
141,38-23,2023,9,38,2023-09-25
142,39-23,2023,10,39,2023-10-02
143,40-23,2023,10,40,2023-10-09
144,41-23,2023,10,41,2023-10-16
145,42-23,2023,10,42,2023-10-23
146,43-23,2023,10,43,2023-10-30
147,44-23,2023,11,44,2023-11-06
148,45-23,2023,11,45,2023-11-13
149,46-23,2023,11,46,2023-11-20
150,47-23,2023,11,47,2023-11-27
151,48-23,2023,12,48,2023-12-04
152,49-23,2023,12,49,2023-12-11
153,50-23,2023,12,50,2023-12-18
154,51-23,2023,12,51,2023-12-25
155,52-23,2023,1,52,2024-01-01
